time,spatialGroup,siteType,chargerType,chargingLoad,numPlugged
15.25,Contra Costa,Non-Residential,j-1772-2,0.0,2
15.5,Santa Clara,Residential,j-1772-2,6.7,2
15.5,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,13
15.5,San Francisco,Residential,j-1772-2,0.0,3
15.5,San Francisco,Non-Residential,j-1772-2,0.0,1
15.5,Alameda,Residential,j-1772-2,0.0,0
15.5,Alameda,Non-Residential,j-1772-2,6.7,2
15.5,Marin,Residential,j-1772-2,0.0,2
15.5,San Mateo,Residential,j-1772-2,26.8,9
15.5,San Mateo,Non-Residential,j-1772-2,1.7763568394002505E-15,11
15.5,Contra Costa,Non-Residential,j-1772-2,0.0,2
15.75,Santa Clara,Residential,j-1772-2,6.7,2
15.75,Santa Clara,Non-Residential,j-1772-2,1.7763568394002505E-15,12
15.75,San Francisco,Residential,j-1772-2,0.0,3
15.75,San Francisco,Non-Residential,j-1772-2,0.0,1
15.75,Alameda,Residential,j-1772-2,0.0,0
15.75,Alameda,Non-Residential,j-1772-2,13.4,3
15.75,Marin,Residential,j-1772-2,0.0,2
15.75,San Mateo,Residential,j-1772-2,20.1,9
15.75,San Mateo,Non-Residential,j-1772-2,1.7763568394002505E-15,11
15.75,Contra Costa,Non-Residential,j-1772-2,0.0,1
16.0,Santa Clara,Residential,j-1772-2,6.7,2
16.0,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,14
16.0,San Francisco,Residential,j-1772-2,0.0,3
16.0,San Francisco,Non-Residential,j-1772-2,0.0,1
16.0,Alameda,Residential,j-1772-2,0.0,0
16.0,Alameda,Non-Residential,j-1772-2,6.7,2
16.0,Marin,Residential,j-1772-2,0.0,2
16.0,San Mateo,Residential,j-1772-2,20.0,10
16.0,San Mateo,Non-Residential,j-1772-2,6.700000000000002,12
16.0,Contra Costa,Non-Residential,j-1772-2,0.0,1
16.25,Santa Clara,Residential,j-1772-2,0.0,2
16.25,Santa Clara,Non-Residential,j-1772-2,6.700000000000002,12
16.25,San Francisco,Residential,j-1772-2,0.0,3
16.25,San Francisco,Non-Residential,j-1772-2,0.0,1
16.25,Alameda,Residential,j-1772-2,0.0,0
16.25,Alameda,Non-Residential,j-1772-2,6.7,2
16.25,Marin,Residential,j-1772-2,0.0,2
16.25,San Mateo,Residential,j-1772-2,13.3,11
16.25,San Mateo,Non-Residential,j-1772-2,13.400000000000002,11
16.25,Contra Costa,Non-Residential,j-1772-2,0.0,1
16.5,Santa Clara,Residential,j-1772-2,0.0,2
16.5,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,12
16.5,San Francisco,Residential,j-1772-2,0.0,3
16.5,San Francisco,Non-Residential,j-1772-2,0.0,1
16.5,Alameda,Residential,j-1772-2,0.0,0
16.5,Alameda,Non-Residential,j-1772-2,6.7,2
16.5,Marin,Residential,j-1772-2,0.0,2
16.5,San Mateo,Residential,j-1772-2,20.0,13
16.5,San Mateo,Non-Residential,j-1772-2,1.7763568394002505E-15,9
16.5,Contra Costa,Non-Residential,j-1772-2,0.0,1
16.75,Santa Clara,Residential,j-1772-2,0.0,2
16.75,Santa Clara,Non-Residential,j-1772-2,6.700000000000002,10
16.75,San Francisco,Residential,j-1772-2,0.0,3
16.75,San Francisco,Non-Residential,j-1772-2,0.0,1
16.75,Alameda,Residential,j-1772-2,0.0,0
16.75,Alameda,Non-Residential,j-1772-2,6.7,2
16.75,Marin,Residential,j-1772-2,0.0,2
16.75,San Mateo,Residential,j-1772-2,40.1,16
16.75,San Mateo,Non-Residential,j-1772-2,6.700000000000002,10
16.75,Contra Costa,Non-Residential,j-1772-2,0.0,1
17.0,Santa Clara,Residential,j-1772-2,0.0,2
17.0,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,11
17.0,San Francisco,Residential,j-1772-2,6.7,4
17.0,San Francisco,Non-Residential,j-1772-2,0.0,1
17.0,Alameda,Residential,j-1772-2,0.0,0
17.0,Alameda,Non-Residential,j-1772-2,6.7,2
17.0,Marin,Residential,j-1772-2,6.7,3
17.0,San Mateo,Residential,j-1772-2,40.1,16
17.0,San Mateo,Non-Residential,j-1772-2,6.700000000000002,10
17.0,Contra Costa,Non-Residential,j-1772-2,0.0,1
17.25,Santa Clara,Residential,j-1772-2,0.0,2
17.25,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,10
17.25,San Francisco,Residential,j-1772-2,13.4,5
17.25,San Francisco,Non-Residential,j-1772-2,0.0,1
17.25,Alameda,Residential,j-1772-2,0.0,0
17.25,Alameda,Non-Residential,j-1772-2,6.7,2
17.25,Marin,Residential,j-1772-2,6.7,3
17.25,San Mateo,Residential,j-1772-2,20.1,16
17.25,San Mateo,Non-Residential,j-1772-2,6.700000000000002,10
17.25,Contra Costa,Non-Residential,j-1772-2,0.0,1
17.5,Santa Clara,Residential,j-1772-2,0.0,2
17.5,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,10
17.5,San Francisco,Residential,j-1772-2,20.1,6
17.5,San Francisco,Non-Residential,j-1772-2,0.0,1
17.5,Alameda,Residential,j-1772-2,0.0,0
17.5,Alameda,Non-Residential,j-1772-2,6.7,2
17.5,Marin,Residential,j-1772-2,6.7,3
17.5,Marin,Non-Residential,j-1772-2,6.7,1
17.5,San Mateo,Residential,j-1772-2,20.1,16
17.5,San Mateo,Non-Residential,j-1772-2,6.700000000000002,9
17.5,Contra Costa,Non-Residential,j-1772-2,0.0,1
17.75,Santa Clara,Residential,j-1772-2,0.0,2
17.75,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,11
17.75,San Francisco,Residential,j-1772-2,20.1,6
17.75,San Francisco,Non-Residential,j-1772-2,0.0,1
17.75,Alameda,Residential,j-1772-2,0.0,0
17.75,Alameda,Non-Residential,j-1772-2,6.7,2
17.75,Marin,Residential,j-1772-2,6.7,3
17.75,Marin,Non-Residential,j-1772-2,6.7,1
17.75,San Mateo,Residential,j-1772-2,13.400000000000002,17
17.75,San Mateo,Non-Residential,j-1772-2,13.400000000000002,10
17.75,Contra Costa,Non-Residential,j-1772-2,0.0,1
18.0,Santa Clara,Residential,j-1772-2,0.0,2
18.0,Santa Clara,Non-Residential,j-1772-2,1.7763568394002505E-15,9
18.0,San Francisco,Residential,j-1772-2,13.400000000000002,6
18.0,San Francisco,Non-Residential,j-1772-2,0.0,1
18.0,Alameda,Residential,j-1772-2,0.0,0
18.0,Alameda,Non-Residential,j-1772-2,6.7,2
18.0,Marin,Residential,j-1772-2,0.0,2
18.0,Marin,Non-Residential,j-1772-2,6.7,1
18.0,San Mateo,Residential,j-1772-2,20.1,18
18.0,San Mateo,Non-Residential,j-1772-2,13.400000000000002,9
18.0,Contra Costa,Non-Residential,j-1772-2,0.0,1
18.25,Santa Clara,Residential,j-1772-2,6.7,3
18.25,Santa Clara,Non-Residential,j-1772-2,1.7763568394002505E-15,9
18.25,San Francisco,Residential,j-1772-2,6.700000000000002,6
18.25,San Francisco,Non-Residential,j-1772-2,0.0,1
18.25,Alameda,Residential,j-1772-2,0.0,0
18.25,Alameda,Non-Residential,j-1772-2,6.7,2
18.25,Marin,Residential,j-1772-2,0.0,2
18.25,Marin,Non-Residential,j-1772-2,0.0,1
18.25,San Mateo,Residential,j-1772-2,26.8,19
18.25,San Mateo,Non-Residential,j-1772-2,13.400000000000002,9
18.25,Contra Costa,Non-Residential,j-1772-2,0.0,1
18.5,Santa Clara,Residential,j-1772-2,6.7,3
18.5,Santa Clara,Non-Residential,j-1772-2,6.700000000000002,9
18.5,San Francisco,Residential,j-1772-2,6.700000000000002,6
18.5,San Francisco,Non-Residential,j-1772-2,0.0,1
18.5,Alameda,Residential,j-1772-2,0.0,0
18.5,Alameda,Non-Residential,j-1772-2,6.7,1
18.5,Marin,Residential,j-1772-2,0.0,2
18.5,Marin,Non-Residential,j-1772-2,0.0,1
18.5,San Mateo,Residential,j-1772-2,26.8,19
18.5,San Mateo,Non-Residential,j-1772-2,13.400000000000002,8
18.5,Contra Costa,Non-Residential,j-1772-2,0.0,1
18.75,Santa Clara,Residential,j-1772-2,6.7,3
